stage,descricao,run,load_level,endpoint,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,max_ms,throughput_req_s,total_requests,error_rate
Stage 02,Users extraido,2,todos,list_orders,5.93,154.73,189.58,249.34,37.3,505.01,,,0
Stage 02,Users extraido,2,low,list_products,2.35,4.43,5.48,8.17,2.68,30.48,,,0
Stage 02,Users extraido,2,high,get_user,17.02,178.04,204.2,261.28,61.07,512.31,,,0
Stage 02,Users extraido,2,medium,todos,1.25,3.02,3.75,5.9,1.67,25.55,,,
Stage 02,Users extraido,2,medium,list_orders,1.43,2.61,3.32,5.41,1.7,16.04,,,0
Stage 02,Users extraido,2,high,post_order,35.71,194.3,221.11,279.42,76.54,522.04,,,0
Stage 02,Users extraido,2,low,todos,2.65,6.07,7.59,11.05,3.26,35.14,,,
Stage 02,Users extraido,2,todos,get_product,4.87,153.43,188.62,248.55,36.22,517.19,,,0
Stage 02,Users extraido,2,high,todos,25.76,186.18,212.62,270.3,67.78,522.04,,,
Stage 02,Users extraido,2,low,get_user,2.34,4.25,5.16,7.73,2.63,28.62,,,0
Stage 02,Users extraido,2,todos,list_products,4.96,153.77,189.06,248.46,36.44,517.33,,,0
Stage 02,Users extraido,2,low,get_product,2.33,4.39,5.5,8.41,2.66,28.26,,,0
Stage 02,Users extraido,2,medium,get_inventory,1.09,2.02,2.58,4.43,1.31,15.97,,,0
Stage 02,Users extraido,2,todos,post_order,10.48,160.15,195.43,255.59,41.63,522.04,,,0
Stage 02,Users extraido,2,high,list_orders,28.75,188.49,214.93,272.95,70.38,505.01,,,0
Stage 02,Users extraido,2,low,list_orders,3.11,5.5,6.6,9.91,3.44,24.17,,,0
Stage 02,Users extraido,2,medium,get_product,1.1,2.01,2.57,4.43,1.32,14.19,,,0
Stage 02,Users extraido,2,high,get_inventory,26.44,187.8,214.2,271.48,69.0,488.77,,,0
Stage 02,Users extraido,2,todos,get_user,3.88,144.19,179.26,236.79,32.34,512.31,,,0
Stage 02,Users extraido,2,high,list_products,26.12,187.93,214.2,271.22,68.78,517.33,,,0
Stage 02,Users extraido,2,medium,list_products,1.11,2.05,2.61,4.5,1.34,15.98,,,0
Stage 02,Users extraido,2,todos,get_inventory,4.92,154.16,189.13,248.31,36.47,488.77,,,0
Stage 02,Users extraido,3,high,get_inventory,26.82,183.95,208.01,256.09,67.63,451.42,,,0
Stage 02,Users extraido,3,high,post_order,36.83,190.65,215.47,266.42,75.99,452.19,,,0
Stage 02,Users extraido,3,medium,list_products,1.13,2.09,2.68,4.8,1.37,47.66,,,0
Stage 02,Users extraido,3,high,get_product,27.12,184.72,209.24,258.08,68.36,450.96,,,0
Stage 02,Users extraido,3,medium,get_product,1.12,2.07,2.68,4.84,1.36,42.01,,,0
Stage 02,Users extraido,3,medium,post_order,3.0,4.82,5.81,9.08,3.38,40.25,,,0
Stage 02,Users extraido,3,low,get_product,2.3,4.37,5.38,8.18,2.63,19.75,,,0
Stage 02,Users extraido,3,medium,get_user,1.17,2.03,2.58,4.49,1.38,47.25,,,0
Stage 02,Users extraido,3,high,list_orders,29.6,185.61,209.53,259.45,69.9,445.7,,,0
Stage 02,Users extraido,3,todos,list_orders,6.17,151.95,186.07,239.23,37.22,445.7,,,0
Stage 02,Users extraido,3,low,todos,2.64,6.11,7.65,11.26,3.26,31.08,,,
Stage 02,Users extraido,3,todos,post_order,10.81,156.81,191.31,245.12,41.39,452.19,,,0
Stage 02,Users extraido,3,todos,todos,5.37,148.87,183.38,236.1,35.72,504.92,1772.5,1808142,0
Stage 02,Users extraido,3,todos,get_product,5.06,151.19,185.26,237.94,36.13,450.96,,,0
Stage 02,Users extraido,3,todos,list_products,5.03,150.11,184.39,236.48,35.83,504.92,,,0
Stage 02,Users extraido,3,medium,todos,1.27,3.08,3.85,6.2,1.7,47.66,,,
Stage 02,Users extraido,3,high,list_products,27.25,183.96,208.65,256.78,67.98,504.92,,,0
Stage 02,Users extraido,3,low,get_user,2.33,4.22,5.14,7.7,2.61,21.71,,,0
Stage 02,Users extraido,3,todos,get_user,3.93,141.75,175.54,227.71,32.1,451.29,,,0
Stage 02,Users extraido,3,medium,list_orders,1.45,2.66,3.38,5.78,1.73,28.56,,,0
Stage 02,Users extraido,3,low,list_products,2.33,4.39,5.44,8.1,2.66,21.61,,,0
Stage 02,Users extraido,3,low,post_order,5.93,9.76,11.38,15.39,6.32,31.08,,,0
Stage 02,Users extraido,3,high,get_user,17.39,174.91,199.57,247.19,60.52,451.29,,,0
Stage 02,Users extraido,3,low,list_orders,3.08,5.53,6.68,9.83,3.42,28.68,,,0
Stage 02,Users extraido,3,medium,get_inventory,1.11,2.05,2.67,4.8,1.34,27.01,,,0
Stage 02,Users extraido,3,todos,get_inventory,5.0,149.98,184.43,236.54,35.74,451.42,,,0
Stage 02,Users extraido,3,low,get_inventory,2.26,4.27,5.23,7.89,2.58,19.05,,,0
Stage 02,Users extraido,3,high,todos,26.64,182.79,207.47,256.43,67.17,504.92,,,
Stage 03,Products extraido,1,low,post_order,5.96,9.55,11.06,14.72,6.31,31.17,,,0
Stage 03,Products extraido,1,medium,post_order,3.17,5.35,6.81,11.98,3.68,25.59,,,0
Stage 03,Products extraido,1,high,post_order,22.13,48.42,60.63,91.71,26.58,196.83,,,0
